model,outcome,term,estimate,std.error,statistic,p.value,p.adj,sig,conf.low,conf.high,exp_est,exp_lci,exp_uci,pct_change,stars,composite_type
LIBRA2_cont,ptau217_ab42_ratio_log,fhx_burden,0.135,0.082,1.641,0.102,0.19148332512555577,Not significant,-0.026,0.296,1.144,0.974,1.344,14.432,,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,fhx_burden,0.162,0.083,1.952,0.052,0.11175484572362349,Not significant,-0.001,0.324,1.176,0.999,1.383,17.553,,CogDrisk
CogDrisk,ptau217_ab42_ratio_log,risk_score_cogd,0.153,0.041,3.764,0,0.001576258836322854,Significant (FDR-adjusted),0.073,0.232,1.165,1.076,1.261,16.492,**,CogDrisk
LIBRA2,ptau217_ab42_ratio_log,risk_score_libra2,0.163,0.041,3.976,0,0.001115970446057728,Significant (FDR-adjusted),0.083,0.244,1.177,1.086,1.276,17.738,**,LIBRA2
CogDrisk_cont,ptau217_ab42_ratio_log,score_cogd_z,0.044,0.033,1.355,0.177,0.2864377257908958,Not significant,-0.02,0.108,1.045,0.98,1.114,4.525,,CogDrisk
LIBRA2_cont,ptau217_ab42_ratio_log,score_libra2_z,0,0.033,0.002,0.998,0.9981327026012758,Not significant,-0.065,0.065,1,0.937,1.067,0.008,,LIBRA2
CogDrisk_cont,ptau217_log,GRS,-0.02,0.08,-0.25,0.802,0.8754266967142378,Not significant,-0.178,0.137,0.98,0.837,1.147,-1.993,,CogDrisk
LIBRA2_cont,ptau217_log,GRS,-0.006,0.079,-0.082,0.935,0.9701126414644626,Not significant,-0.161,0.148,0.994,0.851,1.16,-0.648,,LIBRA2
CogDrisk_cont,ptau217_log,apoe_burden,0.302,0.059,5.071,0,1.383889887498702e-5,Significant (FDR-adjusted),0.185,0.418,1.352,1.203,1.519,35.203,***,CogDrisk
LIBRA2_cont,ptau217_log,apoe_burden,0.327,0.059,5.509,0,5.311692212951298e-6,Significant (FDR-adjusted),0.21,0.443,1.386,1.234,1.557,38.617,***,LIBRA2
LIBRA2_cont,ptau217_log,fhx_burden,0.1,0.071,1.418,0.157,0.2698052083282849,Not significant,-0.038,0.239,1.105,0.962,1.27,10.538,,LIBRA2
CogDrisk_cont,ptau217_log,fhx_burden,0.118,0.072,1.648,0.101,0.19148332512555577,Not significant,-0.022,0.259,1.126,0.978,1.296,12.562,,CogDrisk
CogDrisk,ptau217_log,risk_score_cogd,0.136,0.036,3.802,0,0.0015355859175352673,Significant (FDR-adjusted),0.066,0.207,1.146,1.068,1.23,14.621,**,CogDrisk
LIBRA2,ptau217_log,risk_score_libra2,0.137,0.036,3.821,0,0.0015355859175352673,Significant (FDR-adjusted),0.067,0.208,1.147,1.069,1.231,14.724,**,LIBRA2
CogDrisk_cont,ptau217_log,score_cogd_z,0.083,0.029,2.875,0.004,0.017532565665492866,Significant (FDR-adjusted),0.027,0.14,1.087,1.027,1.15,8.686,*,CogDrisk
LIBRA2_cont,ptau217_log,score_libra2_z,0.025,0.029,0.855,0.393,0.5620797459794779,Not significant,-0.032,0.081,1.025,0.969,1.085,2.498,,LIBRA2
