biomarker,threshold,n_subjects,n_obs,mean_time_to_threshold,sd_time_to_threshold,median_time_to_threshold,pct_past_threshold,analysis
p-tau181,6.42485,272,1039,-12.802139704182464,21.26847639902208,-9.943905162805585,61.029411764705884,Primary (CL ≥ 22.32)
p-tau217,3.065,285,731,-11.963515025571219,10.642620029895824,-11.215840223582706,87.01754385964912,Primary (CL ≥ 22.32)
